,年[西暦],年[和暦],月,市・区名,人口総数[人],男[人],女[人],世帯数[世帯]
1,2019,平成31,1,新潟市,792433,381699,410734,338827
2,2019,平成31,1,北区,74390,36365,38025,29110
3,2019,平成31,1,東区,137236,66196,71040,60950
4,2019,平成31,1,中央区,175921,83691,92230,87084
5,2019,平成31,1,江南区,68871,33508,35363,27098
6,2019,平成31,1,秋葉区,77132,37022,40110,29879
7,2019,平成31,1,南区,44851,21836,23015,16025
8,2019,平成31,1,西区,156974,75464,81510,68305
9,2019,平成31,1,西蒲区,57058,27617,29441,20376
1,2019,平成31,2,新潟市,791708,381339,410369,338599
2,2019,平成31,2,北区,74278,36314,37964,29050
3,2019,平成31,2,東区,137187,66163,71024,60951
4,2019,平成31,2,中央区,175727,83623,92104,87001
5,2019,平成31,2,江南区,68810,33484,35326,27096
6,2019,平成31,2,秋葉区,77038,36974,40064,29868
7,2019,平成31,2,南区,44825,21827,22998,16031
8,2019,平成31,2,西区,156833,75369,81464,68221
9,2019,平成31,2,西蒲区,57010,27585,29425,20381
1,2019,平成31,3,新潟市,789897,380287,409610,338995
2,2019,平成31,3,北区,74113,36224,37889,29079
3,2019,平成31,3,東区,136779,65935,70844,61061
4,2019,平成31,3,中央区,175242,83254,91988,87081
5,2019,平成31,3,江南区,68626,33398,35228,27134
6,2019,平成31,3,秋葉区,76998,36928,40070,29953
7,2019,平成31,3,南区,44786,21806,22980,16078
8,2019,平成31,3,西区,156464,75189,81275,68192
9,2019,平成31,3,西蒲区,56889,27553,29336,20417
1,2019,平成31,4,新潟市,790603,380772,409831,340320
2,2019,平成31,4,北区,74125,36215,37910,29145
3,2019,平成31,4,東区,136911,66012,70899,61233
4,2019,平成31,4,中央区,175580,83483,92097,87483
5,2019,平成31,4,江南区,68565,33365,35200,27151
6,2019,平成31,4,秋葉区,76969,36926,40043,30009
7,2019,平成31,4,南区,44744,21791,22953,16099
8,2019,平成31,4,西区,156892,75461,81431,68737
9,2019,平成31,4,西蒲区,56817,27519,29298,20463
1,2019,令和元,5,新潟市,790459,380690,409769,340539
2,2019,令和元,5,北区,74123,36223,37900,29209
3,2019,令和元,5,東区,136858,65991,70867,61245
4,2019,令和元,5,中央区,175625,83515,92110,87534
5,2019,令和元,5,江南区,68588,33369,35219,27176
6,2019,令和元,5,秋葉区,76963,36920,40043,30027
7,2019,令和元,5,南区,44719,21759,22960,16104
8,2019,令和元,5,西区,156834,75432,81402,68765
9,2019,令和元,5,西蒲区,56749,27481,29268,20479
1,2019,令和元,6,新潟市,790181,380566,409615,340607
2,2019,令和元,6,北区,74121,36221,37900,29254
3,2019,令和元,6,東区,136800,65971,70829,61275
4,2019,令和元,6,中央区,175521,83476,92045,87470
5,2019,令和元,6,江南区,68577,33347,35230,27190
6,2019,令和元,6,秋葉区,76958,36923,40035,30057
7,2019,令和元,6,南区,44674,21748,22926,16091
8,2019,令和元,6,西区,156819,75404,81415,68773
9,2019,令和元,6,西蒲区,56711,27476,29235,20497
1,2019,令和元,7,新潟市,790028,380523,409505,340755
2,2019,令和元,7,北区,74108,36211,37897,29276
3,2019,令和元,7,東区,136778,65990,70788,61320
4,2019,令和元,7,中央区,175494,83474,92020,87462
5,2019,令和元,7,江南区,68580,33352,35228,27194
6,2019,令和元,7,秋葉区,76921,36913,40008,30054
7,2019,令和元,7,南区,44628,21726,22902,16111
8,2019,令和元,7,西区,156822,75391,81431,68827
9,2019,令和元,7,西蒲区,56697,27466,29231,20511
1,2019,令和元,8,新潟市,789638,380378,409260,340718
2,2019,令和元,8,北区,74006,36168,37838,29274
3,2019,令和元,8,東区,136784,65987,70797,61358
4,2019,令和元,8,中央区,175339,83387,91952,87395
5,2019,令和元,8,江南区,68595,33364,35231,27215
6,2019,令和元,8,秋葉区,76924,36919,40005,30086
7,2019,令和元,8,南区,44616,21718,22898,16120
8,2019,令和元,8,西区,156718,75378,81340,68751
9,2019,令和元,8,西蒲区,56656,27457,29199,20519
1,2019,令和元,9,新潟市,789368,380223,409145,340814
2,2019,令和元,9,北区,73940,36139,37801,29265
3,2019,令和元,9,東区,136689,65915,70774,61338
4,2019,令和元,9,中央区,175152,83300,91852,87296
5,2019,令和元,9,江南区,68608,33372,35236,27233
6,2019,令和元,9,秋葉区,76903,36928,39975,30103
7,2019,令和元,9,南区,44624,21719,22905,16143
8,2019,令和元,9,西区,156824,75408,81416,68910
9,2019,令和元,9,西蒲区,56628,27442,29186,20526
1,2019,令和元,10,新潟市,789127,380173,408954,340894
2,2019,令和元,10,北区,73952,36152,37800,29295
3,2019,令和元,10,東区,136610,65912,70698,61366
4,2019,令和元,10,中央区,175107,83279,91828,87273
5,2019,令和元,10,江南区,68621,33390,35231,27252
6,2019,令和元,10,秋葉区,76897,36939,39958,30131
7,2019,令和元,10,南区,44606,21709,22897,16155
8,2019,令和元,10,西区,156749,75378,81371,68882
9,2019,令和元,10,西蒲区,56585,27414,29171,20540
1,2019,令和元,11,新潟市,788851,380012,408839,340953
2,2019,令和元,11,北区,73914,36144,37770,29301
3,2019,令和元,11,東区,136515,65856,70659,61346
4,2019,令和元,11,中央区,175093,83254,91839,87264
5,2019,令和元,11,江南区,68623,33385,35238,27272
6,2019,令和元,11,秋葉区,76856,36906,39950,30144
7,2019,令和元,11,南区,44562,21680,22882,16154
8,2019,令和元,11,西区,156772,75399,81373,68928
9,2019,令和元,11,西蒲区,56516,27388,29128,20544
1,2019,令和元,12,新潟市,788465,379786,408679,340913
2,2019,令和元,12,北区,73924,36135,37789,29348
3,2019,令和元,12,東区,136481,65844,70637,61336
4,2019,令和元,12,中央区,174936,83166,91770,87179
5,2019,令和元,12,江南区,68606,33383,35223,27276
6,2019,令和元,12,秋葉区,76849,36911,39938,30154
7,2019,令和元,12,南区,44518,21660,22858,16158
8,2019,令和元,12,西区,156657,75315,81342,68900
9,2019,令和元,12,西蒲区,56494,27372,29122,20562
